Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
France,FRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100
France,FRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,81.9198,83.7511,78.006,79.2698,80.5025,82.0432,83.3397,84.7064,86.0955,85.3333,86.8364
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.863715498,0.507758823,0.037514381,0.183334861,1.032282751,1.850815083,1.108254923,0.476498853,1.64233141,5.222367484,4.878357265
France,FRA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.847116484,1.859529066,1.869732682,1.851718096,1.852308819,1.846042571,1.852885207,2.021674553,1.980222258,1.957720675,1.950996838
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,42669.17951,43148.04593,36702.43237,37024.21571,38687.16264,41418.17665,40408.28486,39169.8606,43725.09995,40988.63964,44700.13842
France,FRA,Net migration,SM.POP.NETM,116297,52342,-345,15548,102984,132925,71972,145593,131465,179377,91862
France,FRA,Population density (people per sq. km of land area),EN.POP.DNST,122.4565025,123.0393673,123.4776361,123.8038853,124.1636887,124.6096076,125.024698,125.4311346,125.8796011,126.5135115,126.8620206
United States,USA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.4,73,74.5542,85.5444,87.2749,88.4989,89.4303,90.3447,91.2684,92.2016,93.1444
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.464832656,1.622222977,0.118627136,1.261583206,2.130110004,2.442583297,1.812210075,1.233584396,4.697858864,8.002799821,4.116338384
United States,USA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.023705604,3.678918174,3.464492926,3.402602336,3.297723487,3.304000539,3.409214084,3.645187573,3.404519916,3.309477158,3.304441638
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,53179.01276,54973.42075,56572.9189,57638.10184,59635.09844,62499.87444,64746.45068,63515.94918,70205.05092,76657.24888,81032.26212
United States,USA,Net migration,SM.POP.NETM,1663885,1672598,1722127,1889129,1864738,1764961,1774500,329769,674787,1319009,1322668
United States,USA,Population density (people per sq. km of land area),EN.POP.DNST,34.62465723,34.90137766,35.18097136,35.45845058,35.70499758,35.91499866,36.10047718,36.248223,36.30529264,36.51492126,36.81980613
Mexico,MEX,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.1,99.2,99,99.5,100,99.5,99.6,99.4,100,100,99.7
Mexico,MEX,Individuals using the Internet (% of population),IT.NET.USER.ZS,43.46,44.3857,57.431,59.5404,53.0318,56.6596,69.6321,71.4902,75.6265,78.6322,81.1832
Mexico,MEX,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.806390697,4.018616081,2.72064065,2.821707847,6.04145724,4.899350154,3.635961421,3.396834156,5.689208477,7.896276192,5.527960873
Mexico,MEX,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.487642876,0.495321031,0.450742824,0.480046272,0.424849156,0.464611545,0.509337628,0.717690608,0.659404193,0.685819352,0.66037188
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,11216.80085,11391.37735,10021.23861,9097.923977,9649.278168,10084.79376,10369.55536,8841.27075,10314.05067,11405.79405,13860.95978
Mexico,MEX,Net migration,SM.POP.NETM,-120058,-228816,-291044,-304472,-227499,-175356,-169628,-147456,-122791,-108438,-101044
Mexico,MEX,Population density (people per sq. km of land area),EN.POP.DNST,60.87788935,61.61900306,62.28159469,62.88811492,63.47902827,64.08277528,64.69455593,65.22752849,65.66431647,66.16071247,66.74027573
Japan,JPN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,88.2194,89.1068,91.058,93.1827,91.7265,88.7464,92.7304,90.2195,82.9141,84.9234,86.9815
Japan,JPN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.335037912,2.759226714,0.795279631,-0.127258844,0.484199796,0.989094598,0.468776159,-0.024995834,-0.233352779,2.497702782,3.268133659
Japan,JPN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.940538501,0.957800915,0.947283533,0.929516776,0.913229479,0.962497364,0.992231473,1.016761271,1.063840502,1.009943954,1.139546418
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,40898.6479,38475.39525,34960.63938,39375.47316,38834.05293,39751.1331,40415.95676,40028.73417,40094.55998,34065.6439,33836.17563
Japan,JPN,Net migration,SM.POP.NETM,66449,58109,168896,314732,322564,320601,318190,42001,-34996,175003,175003
Japan,JPN,Population density (people per sq. km of land area),EN.POP.DNST,349.6433471,349.1796982,348.8093278,348.6310014,348.345679,347.9039781,347.4156379,346.3950617,344.8054678,343.2784335,341.5445575
Ecuador,ECU,Access to electricity (% of population),EG.ELC.ACCS.ZS,98,99,98.8,98.7,99.2,98.7,99.1,98.9,100,100,98.7
Ecuador,ECU,Individuals using the Internet (% of population),IT.NET.USER.ZS,40.2791,45.5904,48.9404,54.0629,55.8,57.5,59.2,70.7,69.1148,69.7181,72.6943
Ecuador,ECU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.721775777,3.589220166,3.966646233,1.728264633,0.417335589,-0.224103246,0.266012515,-0.338872393,0.133251386,3.466169722,2.215687642
Ecuador,ECU,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.83298697,2.712790948,2.672072662,2.573116756,2.357384198,2.371999112,2.180381898,2.457923511,2.242107095,2.2185153,2.265138561
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,6109.290315,6405.799793,5976.159681,5917.637713,6233.322448,6303.918867,6205.057652,5463.645153,6061.323502,6515.585284,6737.847484
Ecuador,ECU,Net migration,SM.POP.NETM,-6182,2273,14724,35461,53707,95482,54921,-10320,-28503,-23090,-21948
Ecuador,ECU,Population density (people per sq. km of land area),EN.POP.DNST,63.64602996,64.56403608,65.49454421,66.45651071,67.48074972,68.64852231,69.81809067,70.64770897,71.19686745,71.76637542,72.39524481